stroke_index,timestamp,x,y,pressure
1,1765877036.6203141,210,138,0.1
1,1765877036.637223,208,138,0.1
1,1765877036.664578,196,142,0.1
1,1765877036.684054,173,154,0.1
1,1765877036.68507,148,171,0.1
1,1765877036.714189,127,188,0.1
1,1765877036.727839,115,200,0.1
1,1765877036.744459,108,208,0.1
1,1765877036.760442,104,216,0.1
1,1765877036.7765388,102,224,0.1
1,1765877036.7934778,102,234,0.1
1,1765877036.8099341,103,251,0.1
1,1765877036.826367,108,273,0.1
1,1765877036.8427808,115,298,0.1
1,1765877036.859663,121,321,0.1
1,1765877036.8765628,125,339,0.1
1,1765877036.8927639,129,354,0.1
1,1765877036.909369,131,363,0.1
1,1765877036.926014,133,369,0.1
1,1765877036.942562,134,372,0.1
1,1765877036.9592772,134,373,0.1
2,1765877037.6529999,99,237,0.1
2,1765877037.7537978,100,237,0.1
2,1765877037.779625,101,237,0.1
2,1765877037.801613,104,236,0.1
2,1765877037.80209,109,235,0.1
2,1765877037.831468,113,235,0.1
2,1765877037.845383,117,234,0.1
2,1765877037.861515,123,232,0.1
2,1765877037.8771079,127,231,0.1
2,1765877037.89369,129,230,0.1
2,1765877037.910093,131,230,0.1
2,1765877037.9267368,132,230,0.1
2,1765877037.943129,133,230,0.1
2,1765877037.970886,134,230,0.1
2,1765877037.986571,134,231,0.1
2,1765877038.010858,135,236,0.1
2,1765877038.0268328,137,248,0.1
2,1765877038.0433578,140,264,0.1
2,1765877038.0594518,143,283,0.1
2,1765877038.0759559,145,301,0.1
2,1765877038.092758,146,318,0.1
2,1765877038.1093602,146,330,0.1
2,1765877038.126108,146,338,0.1
2,1765877038.1425111,146,345,0.1
2,1765877038.159164,145,350,0.1
2,1765877038.17571,145,354,0.1
2,1765877038.1923058,145,358,0.1
2,1765877038.20901,145,364,0.1
2,1765877038.2259588,147,369,0.1
3,1765877038.7203178,99,387,0.1
3,1765877038.736665,101,387,0.1
3,1765877038.763894,106,385,0.1
3,1765877038.784864,119,381,0.1
3,1765877038.785872,135,375,0.1
3,1765877038.814514,149,370,0.1
3,1765877038.828314,161,367,0.1
3,1765877038.845036,172,363,0.1
3,1765877038.8602638,180,360,0.1
3,1765877038.876671,187,358,0.1
3,1765877038.8934069,192,355,0.1
3,1765877038.909805,197,353,0.1
3,1765877038.9264169,199,352,0.1
3,1765877038.942871,201,351,0.1
4,1765877039.370427,257,209,0.1
4,1765877039.4705899,258,209,0.1
4,1765877039.498189,260,209,0.1
4,1765877039.51776,263,209,0.1
4,1765877039.5183291,266,209,0.1
4,1765877039.547982,269,209,0.1
4,1765877039.561846,270,209,0.1
4,1765877039.578418,270,211,0.1
4,1765877039.593882,270,216,0.1
4,1765877039.610346,270,224,0.1
4,1765877039.626743,269,232,0.1
4,1765877039.643496,268,238,0.1
4,1765877039.660055,268,242,0.1
4,1765877039.6763892,268,244,0.1
4,1765877039.6931489,270,245,0.1
4,1765877039.709549,275,245,0.1
4,1765877039.72704,279,246,0.1
4,1765877039.7443562,283,249,0.1
4,1765877039.759997,286,255,0.1
4,1765877039.7784388,288,266,0.1
4,1765877039.797204,291,283,0.1
4,1765877039.8100328,293,299,0.1
4,1765877039.826849,295,315,0.1
4,1765877039.8441532,296,328,0.1
4,1765877039.863243,295,338,0.1
4,1765877039.876641,289,346,0.1
4,1765877039.894763,281,352,0.1
4,1765877039.910228,274,357,0.1
5,1765877040.753974,239,207,0.1
5,1765877040.770091,239,210,0.1
5,1765877040.796424,241,219,0.1
5,1765877040.818641,247,235,0.1
5,1765877040.818984,253,255,0.1
5,1765877040.848504,263,285,0.1
5,1765877040.8524039,273,323,0.1
5,1765877040.881836,281,362,0.1
5,1765877040.8960361,286,394,0.1
5,1765877040.911157,291,422,0.1
5,1765877040.9271061,296,445,0.1
5,1765877040.943713,299,459,0.1
5,1765877040.960133,302,467,0.1
6,1765877055.3205938,207,238,0.1
6,1765877055.419609,204,238,0.1
6,1765877055.4444091,196,240,0.1
6,1765877055.4698062,182,245,0.1
6,1765877055.470143,167,250,0.1
6,1765877055.499551,156,254,0.1
6,1765877055.5038888,149,257,0.1
6,1765877055.531473,145,259,0.1
6,1765877055.5457,143,260,0.1
6,1765877055.561244,143,262,0.1
6,1765877055.577153,143,267,0.1
6,1765877055.593745,144,279,0.1
6,1765877055.610226,148,297,0.1
6,1765877055.62654,155,319,0.1
6,1765877055.6434188,162,338,0.1
6,1765877055.65974,166,350,0.1
6,1765877055.676356,169,357,0.1
6,1765877055.692724,170,361,0.1
6,1765877055.709717,171,362,0.1
7,1765877056.1039062,143,285,0.1
7,1765877056.204227,144,284,0.1
7,1765877056.233475,145,284,0.1
7,1765877056.237313,151,283,0.1
7,1765877056.2703931,176,278,0.1
7,1765877056.299583,184,278,0.1
7,1765877056.3034859,191,278,0.1
7,1765877056.3317702,194,278,0.1
7,1765877056.338018,196,279,0.1
7,1765877056.3642151,197,285,0.1
7,1765877056.377677,198,301,0.1
7,1765877056.393994,200,326,0.1
7,1765877056.410316,202,359,0.1
7,1765877056.4270668,203,393,0.1
7,1765877056.4433641,203,418,0.1
7,1765877056.460004,202,433,0.1
7,1765877056.476426,199,443,0.1
7,1765877056.493139,198,448,0.1
7,1765877056.5096908,196,449,0.1
7,1765877056.526667,194,450,0.1
