stroke_index,timestamp,x,y,pressure
1,1765873754.1036658,201,190,0.1
1,1765873754.152777,200,190,0.1
1,1765873754.17127,197,193,0.1
1,1765873754.187913,190,200,0.1
1,1765873754.210691,183,207,0.1
1,1765873754.225749,177,212,0.1
1,1765873754.242461,172,216,0.1
1,1765873754.258952,170,218,0.1
1,1765873754.275708,170,219,0.1
1,1765873754.292274,170,221,0.1
1,1765873754.309056,170,225,0.1
1,1765873754.325658,171,232,0.1
1,1765873754.342314,176,244,0.1
1,1765873754.358995,184,261,0.1
1,1765873754.3757281,195,281,0.1
1,1765873754.392289,205,303,0.1
1,1765873754.408902,213,321,0.1
1,1765873754.4257028,218,333,0.1
1,1765873754.4424472,221,340,0.1
1,1765873754.4591238,223,344,0.1
1,1765873754.4759429,223,345,0.1
1,1765873754.5197692,224,345,0.1
