stroke_index,timestamp,x,y,pressure
1,1765873325.239897,224,144,0.1
1,1765873325.256446,220,144,0.1
1,1765873325.2804239,207,147,0.1
1,1765873325.307088,169,162,0.1
1,1765873325.3368042,155,169,0.1
1,1765873325.3398132,145,173,0.1
1,1765873325.368674,140,176,0.1
1,1765873325.382429,138,178,0.1
1,1765873325.422956,137,178,0.1
1,1765873325.458098,137,180,0.1
1,1765873325.472737,138,184,0.1
1,1765873325.5000691,140,195,0.1
1,1765873325.515009,143,214,0.1
1,1765873325.530962,146,234,0.1
1,1765873325.5474792,148,253,0.1
1,1765873325.564008,149,268,0.1
1,1765873325.580627,150,278,0.1
1,1765873325.597225,151,284,0.1
1,1765873325.613784,151,286,0.1
1,1765873325.630715,152,288,0.1
2,1765873326.1402721,148,166,0.1
2,1765873326.291809,149,166,0.1
2,1765873326.31894,156,166,0.1
2,1765873326.337138,171,166,0.1
2,1765873326.339613,187,166,0.1
2,1765873326.369149,199,166,0.1
2,1765873326.382696,208,166,0.1
2,1765873326.398794,214,166,0.1
2,1765873326.414287,217,166,0.1
2,1765873326.4308748,218,166,0.1
2,1765873326.447235,218,167,0.1
2,1765873326.4640791,218,171,0.1
2,1765873326.4805381,217,180,0.1
2,1765873326.497209,212,195,0.1
2,1765873326.513886,207,211,0.1
2,1765873326.5306292,202,227,0.1
2,1765873326.5469491,196,247,0.1
2,1765873326.5636458,190,267,0.1
2,1765873326.580332,186,282,0.1
2,1765873326.596977,183,292,0.1
2,1765873326.6135979,181,299,0.1
2,1765873326.630261,180,303,0.1
2,1765873326.647485,179,305,0.1
3,1765873332.158274,246,168,0.1
3,1765873332.2911098,247,168,0.1
3,1765873332.308243,254,167,0.1
3,1765873332.325681,268,165,0.1
3,1765873332.347648,286,160,0.1
3,1765873332.363691,301,156,0.1
3,1765873332.3802,310,154,0.1
3,1765873332.396569,316,153,0.1
3,1765873332.413363,318,152,0.1
3,1765873332.473897,318,153,0.1
3,1765873332.491531,318,158,0.1
3,1765873332.508201,315,169,0.1
3,1765873332.5250518,311,184,0.1
3,1765873332.54201,305,204,0.1
3,1765873332.5585248,296,224,0.1
3,1765873332.580365,288,239,0.1
3,1765873332.5967202,283,249,0.1
3,1765873332.613347,277,255,0.1
3,1765873332.630005,273,259,0.1
3,1765873332.6469052,264,256,0.1
4,1765873332.97526,247,206,0.1
4,1765873333.0911071,247,207,0.1
4,1765873333.108463,247,212,0.1
4,1765873333.125675,247,221,0.1
4,1765873333.1473432,247,233,0.1
4,1765873333.164397,247,248,0.1
4,1765873333.181205,247,266,0.1
4,1765873333.1968288,247,282,0.1
4,1765873333.2139788,247,295,0.1
4,1765873333.230719,247,307,0.1
4,1765873333.2472908,247,317,0.1
4,1765873333.2639282,247,324,0.1
4,1765873333.280725,247,328,0.1
4,1765873333.297298,247,329,0.1
4,1765873333.314105,247,330,0.1
4,1765873333.3301928,247,331,0.1
4,1765873333.407393,247,330,0.1
4,1765873333.4248729,247,329,0.1
4,1765873333.4415329,247,328,0.1
4,1765873333.4586,247,327,0.1
4,1765873333.475125,247,326,0.1
4,1765873333.4916952,248,325,0.1
4,1765873333.5088372,252,322,0.1
4,1765873333.5251122,264,319,0.1
4,1765873333.5471659,281,315,0.1
4,1765873333.5633678,300,314,0.1
4,1765873333.58021,317,312,0.1
4,1765873333.5967848,331,312,0.1
4,1765873333.613506,340,311,0.1
4,1765873333.630072,346,311,0.1
4,1765873333.6467788,348,310,0.1
4,1765873333.663651,349,310,0.1
4,1765873333.723962,348,310,0.1
4,1765873333.741806,346,310,0.1
4,1765873333.7585359,340,310,0.1
4,1765873333.7752671,332,310,0.1
4,1765873333.797296,321,310,0.1
4,1765873333.8133838,309,310,0.1
4,1765873333.830218,298,310,0.1
4,1765873333.846713,289,310,0.1
4,1765873333.863511,283,310,0.1
4,1765873333.880556,279,310,0.1
