stroke_num,timestamp,x,y,pressure
1,1759561096.6042602,237,152,0.1
1,1759561096.7342238,233,152,0.1
1,1759561096.7448928,226,152,0.1
1,1759561096.767191,217,154,0.1
1,1759561096.803147,204,160,0.1
1,1759561096.835405,194,167,0.1
1,1759561096.865727,191,173,0.1
1,1759561096.876083,190,178,0.1
1,1759561096.8989198,189,185,0.1
1,1759561096.916499,188,194,0.1
1,1759561096.927475,186,205,0.1
1,1759561096.9488902,184,215,0.1
1,1759561096.966219,183,222,0.1
1,1759561096.9832,182,227,0.1
1,1759561096.994708,181,229,0.1
1,1759561097.01607,181,231,0.1
1,1759561097.033354,181,234,0.1
1,1759561097.0442119,181,237,0.1
1,1759561097.069058,181,242,0.1
1,1759561097.102071,180,254,0.1
1,1759561097.1320698,175,278,0.1
1,1759561097.149784,170,298,0.1
1,1759561097.167337,169,307,0.1
1,1759561097.201917,168,315,0.1
1,1759561097.2319949,167,318,0.1
1,1759561097.2814631,168,319,0.1
